date,product,category,units_sold,unit_price,revenue,region,customer_segment
2024-01-05,Laptop Pro,Electronics,120,1299.99,155998.80,North,Enterprise
2024-01-08,Wireless Headphones,Electronics,340,89.99,30596.60,South,Consumer
2024-01-10,Office Chair,Furniture,85,349.99,29749.15,East,SMB
2024-01-12,Standing Desk,Furniture,62,599.99,37199.38,West,Enterprise
2024-01-15,USB-C Hub,Electronics,510,39.99,20394.90,North,Consumer
2024-01-18,Mechanical Keyboard,Electronics,275,129.99,35747.25,South,SMB
2024-01-20,Monitor 4K,Electronics,198,499.99,98998.02,East,Enterprise
2024-01-22,Ergonomic Mouse,Electronics,420,59.99,25195.80,West,Consumer
2024-01-25,Webcam HD,Electronics,315,79.99,25196.85,North,SMB
2024-01-28,Desk Lamp,Furniture,230,44.99,10347.70,South,Consumer
2024-02-02,Laptop Pro,Electronics,145,1299.99,188498.55,East,Enterprise
2024-02-05,Wireless Headphones,Electronics,390,89.99,35096.10,West,Consumer
2024-02-08,Office Chair,Furniture,92,349.99,32199.08,North,SMB
2024-02-10,Standing Desk,Furniture,78,599.99,46799.22,South,Enterprise
2024-02-12,USB-C Hub,Electronics,580,39.99,23194.20,East,Consumer
2024-02-15,Mechanical Keyboard,Electronics,310,129.99,40296.90,West,SMB
2024-02-18,Monitor 4K,Electronics,225,499.99,112497.75,North,Enterprise
2024-02-20,Ergonomic Mouse,Electronics,460,59.99,27595.40,South,Consumer
2024-02-22,Webcam HD,Electronics,355,79.99,28396.45,East,SMB
2024-02-25,Desk Lamp,Furniture,260,44.99,11697.40,West,Consumer
2024-03-01,Laptop Pro,Electronics,168,1299.99,218398.32,North,Enterprise
2024-03-04,Wireless Headphones,Electronics,425,89.99,38245.75,South,Consumer
2024-03-06,Office Chair,Furniture,105,349.99,36748.95,East,SMB
2024-03-09,Standing Desk,Furniture,89,599.99,53399.11,West,Enterprise
2024-03-12,USB-C Hub,Electronics,640,39.99,25593.60,North,Consumer
2024-03-15,Mechanical Keyboard,Electronics,345,129.99,44846.55,South,SMB
2024-03-18,Monitor 4K,Electronics,260,499.99,129997.40,East,Enterprise
2024-03-20,Ergonomic Mouse,Electronics,495,59.99,29695.05,West,Consumer
2024-03-24,Webcam HD,Electronics,390,79.99,31196.10,North,SMB
2024-03-28,Desk Lamp,Furniture,290,44.99,13047.10,South,Consumer
2024-04-01,Laptop Pro,Electronics,195,1299.99,253498.05,East,Enterprise
2024-04-04,Wireless Headphones,Electronics,460,89.99,41395.40,West,Consumer
2024-04-07,Office Chair,Furniture,118,349.99,41298.82,North,SMB
2024-04-10,Standing Desk,Furniture,101,599.99,60598.99,South,Enterprise
2024-04-13,USB-C Hub,Electronics,695,39.99,27793.05,East,Consumer
2024-04-16,Mechanical Keyboard,Electronics,378,129.99,49136.22,West,SMB
2024-04-19,Monitor 4K,Electronics,290,499.99,144997.10,North,Enterprise
2024-04-22,Ergonomic Mouse,Electronics,530,59.99,31794.70,South,Consumer
2024-04-25,Webcam HD,Electronics,420,79.99,33595.80,East,SMB
2024-04-28,Desk Lamp,Furniture,315,44.99,14171.85,West,Consumer
2024-05-01,Laptop Pro,Electronics,212,1299.99,275597.88,North,Enterprise
2024-05-04,Wireless Headphones,Electronics,498,89.99,44795.02,South,Consumer
2024-05-07,Office Chair,Furniture,132,349.99,46198.68,East,SMB
2024-05-10,Standing Desk,Furniture,115,599.99,68998.85,West,Enterprise
2024-05-13,USB-C Hub,Electronics,750,39.99,29992.50,North,Consumer
2024-05-16,Mechanical Keyboard,Electronics,412,129.99,53535.88,South,SMB
2024-05-19,Monitor 4K,Electronics,318,499.99,158996.82,East,Enterprise
2024-05-22,Ergonomic Mouse,Electronics,568,59.99,34074.32,West,Consumer
2024-05-25,Webcam HD,Electronics,455,79.99,36395.45,North,SMB
2024-05-28,Desk Lamp,Furniture,340,44.99,15296.60,South,Consumer
2024-06-01,Laptop Pro,Electronics,235,1299.99,305497.65,West,Enterprise
2024-06-04,Wireless Headphones,Electronics,535,89.99,48144.65,North,Consumer
2024-06-07,Office Chair,Furniture,148,349.99,51798.52,South,SMB
2024-06-10,Standing Desk,Furniture,128,599.99,76798.72,East,Enterprise
2024-06-13,USB-C Hub,Electronics,810,39.99,32391.90,West,Consumer
2024-06-16,Mechanical Keyboard,Electronics,448,129.99,58235.52,North,SMB
2024-06-19,Monitor 4K,Electronics,345,499.99,172496.55,South,Enterprise
2024-06-22,Ergonomic Mouse,Electronics,605,59.99,36294.95,East,Consumer
2024-06-25,Webcam HD,Electronics,490,79.99,39195.10,West,SMB
2024-06-28,Desk Lamp,Furniture,368,44.99,16556.32,North,Consumer
